t_contact_s,theta_err_t1_deg
0,9.266242244
0.001,9.265702921
0.002,9.265033857
0.003,9.264492722
0.004,9.26386264
0.005,9.26317812
0.006,9.26204603
0.007,9.260601663
0.008,9.258739953
0.009,9.256682442
0.01,9.254252597
0.011,9.252035971
0.012,9.249521823
0.013,9.247212993
0.014,9.245063635
0.015,9.242854279
0.016,9.240756824
0.017,9.238678514
0.018,9.236580449
0.019,9.234896071
0.02,9.233152647
0.021,9.231820555
0.022,9.230484871
0.023,9.22919112
0.024,9.228016526
0.025,9.226906573
0.026,9.225698646
0.027,9.22462632
0.028,9.22381937
0.029,9.222885809
0.03,9.221965232
0.031,9.221134988
0.032,9.220322282
0.033,9.219530914
0.034,9.21862886
0.035,9.217844728
0.036,9.217052006
0.037,9.216493369
0.038,9.215713759
0.039,9.214873435
0.04,9.214132274
0.041,9.213196827
0.042,9.212343665
0.043,9.211411086
0.044,9.21060152
0.045,9.209838195
0.046,9.208991065
0.047,9.208217487
0.048,9.207415845
0.049,9.206974866
0.05,9.206452208
0.051,9.206101752
0.052,9.205556365
0.053,9.205104495
0.054,9.204746259
0.055,9.204367827
0.056,9.203979715
0.057,9.203690237
0.058,9.203150125
0.059,9.202972843
0.06,9.202501419
0.061,9.202201395
0.062,9.201841015
0.063,9.20139363
0.064,9.201168582
0.065,9.200777417
0.066,9.20051014
0.067,9.20029921
0.068,9.199887772
0.069,9.199646244
0.07,9.199400918
0.071,9.199116604
0.072,9.198867153
0.073,9.1987453
0.074,9.198505405
0.075,9.198159058
0.076,9.197845448
0.078,9.19722979
0.079,9.197104532
0.08,9.196640663
0.081,9.196410459
0.082,9.196003622
0.083,9.195792426
0.084,9.195661477
0.085,9.19553995
0.086,9.195304563
0.087,9.19521143
0.088,9.195027839
0.089,9.194916589
0.09,9.19475683
0.091,9.194582834
0.092,9.194394845
0.093,9.194095643
0.094,9.193994334
0.095,9.193761299
0.096,9.193559716
0.097,9.193526442
0.098,9.193107994
0.099,9.192912802
0.1,9.192801669
0.101,9.192591399
0.102,9.192545111
0.103,9.192345942
0.104,9.192190992
0.105,9.192058631
0.106,9.19179024
0.107,9.191621183
0.108,9.191409459
0.109,9.191328666
0.11,9.191017896
0.111,9.190810812
0.112,9.190568077
0.113,9.190488431
0.114,9.190295099
0.115,9.189978184
0.116,9.189838951
0.117,9.189820599
0.118,9.189652829
0.119,9.189524837
0.12,9.189581795
0.121,9.189385265
0.122,9.189201198
0.123,9.189003036
0.124,9.188940665
0.125,9.188844229
0.126,9.188570111
0.127,9.18849994
0.128,9.188407598
0.129,9.188238982
0.13,9.188096232
0.131,9.187997484
0.132,9.187834294
0.133,9.187742979
0.134,9.187681795
0.135,9.187626331
0.136,9.187455943
0.137,9.187411639
0.138,9.187296846
0.139,9.187305398
0.14,9.187108859
0.141,9.186983129
0.142,9.18677837
0.143,9.186771784
0.144,9.186604029
0.145,9.186492625
0.146,9.186335073
0.147,9.186162928
0.148,9.18593992
0.149,9.185727409
0.15,9.185676206
0.151,9.185507817
0.152,9.185308595
0.153,9.185291688
0.154,9.185226895
0.155,9.185078132
0.156,9.184847894
