t_contact_s,theta_err_t1_deg
0,9.343439299
0.001,9.343111807
0.002,9.342656334
0.003,9.342418388
0.004,9.342135067
0.005,9.341881649
0.006,9.341366491
0.007,9.340447471
0.008,9.339778098
0.009,9.338609757
0.01,9.337343392
0.011,9.336316367
0.012,9.334910993
0.013,9.333467407
0.014,9.332057875
0.015,9.330558541
0.016,9.328852201
0.017,9.327112941
0.018,9.325294217
0.019,9.32361431
0.02,9.3220377
0.021,9.320391162
0.022,9.318788879
0.023,9.317425177
0.024,9.315995199
0.025,9.31485686
0.026,9.31362188
0.027,9.312477539
0.028,9.311135667
0.029,9.309994193
0.03,9.308664987
0.031,9.307474956
0.032,9.306495215
0.033,9.305384623
0.034,9.304448992
0.035,9.303705657
0.036,9.30273818
0.037,9.301878323
0.038,9.301083905
0.039,9.30010821
0.04,9.299179681
0.041,9.2983139
0.042,9.297622193
0.043,9.296842952
0.044,9.296188609
0.045,9.295599804
0.046,9.294966544
0.047,9.294392861
0.048,9.293951899
0.049,9.293477152
0.05,9.293078866
0.051,9.292692968
0.052,9.292142342
0.053,9.291801319
0.054,9.291531787
0.055,9.291153407
0.056,9.290839884
0.057,9.290645808
0.058,9.290202556
0.059,9.289930042
0.06,9.289583464
0.061,9.289321462
0.062,9.289063206
0.063,9.288780042
0.064,9.288515968
0.065,9.288408303
0.066,9.288218689
0.067,9.287962999
0.068,9.287737661
0.069,9.287361151
0.07,9.287103424
0.071,9.286767392
0.072,9.286537006
0.073,9.286435811
0.074,9.286184321
0.075,9.285869504
0.076,9.285924247
0.077,9.285647552
0.078,9.285495062
0.079,9.285349553
0.08,9.285175699
0.081,9.285118753
0.082,9.284991264
0.083,9.284788785
0.084,9.284485739
0.085,9.284275429
0.086,9.284132249
0.087,9.28389846
0.088,9.28379881
0.089,9.283588581
0.09,9.283314009
0.091,9.283161722
0.092,9.283009265
0.093,9.282853487
0.094,9.282671493
0.095,9.282374793
0.096,9.28222145
0.097,9.281987569
0.098,9.282062949
0.099,9.281807489
0.1,9.28160458
0.101,9.281540524
