run_id,direction,position_mm,n,entry_t1_deg_mean,entry_t1_deg_sd,final_t1_deg_mean,final_t1_deg_sd
P2_t1_pos_m100,pos,-100,3,9.353333333333333,0.020816659994660883,31.76666666666667,1.3316280762034622
P2_t1_pos_m090,pos,-90,3,9.313333333333333,0.035118845842842555,10.523333333333333,0.3855299383100269
P2_t1_pos_m080,pos,-80,3,9.293333333333333,0.011547005383793295,9.346666666666666,0.01527525231651914
P2_t1_pos_m040,pos,-40,3,9.306666666666667,0.032145502536643514,9.126666666666667,0.07023769168568436
P2_t1_pos_m020,pos,-20,3,9.326666666666666,0.02309401076758454,8.326666666666666,0.42359571921034994
P2_t1_pos_m010,pos,-10,3,9.336666666666666,0.01527525231651914,1.89,0.010000000000000009
P2_t1_pos_p000,pos,0,3,9.306666666666667,0.005773502691896135,1.75,0.0
P2_t1_pos_p010,pos,10,3,9.336666666666666,0.01154700538379227,1.68,0.010000000000000009
P2_t1_pos_p020,pos,20,3,9.316666666666666,0.005773502691896135,1.6033333333333335,0.005773502691896263
P2_t1_pos_p040,pos,40,3,9.33,0.009999999999999787,1.48,0.010000000000000009
P2_t1_pos_p080,pos,80,3,9.306666666666667,0.005773502691896135,1.1666666666666665,0.03055050463303896
P2_t1_pos_p090,pos,90,3,9.363333333333333,0.020816659994661594,1.1133333333333333,0.06429100507328629
P2_t1_pos_p100,pos,100,3,9.336666666666666,0.01154700538379227,0.83,0.060827625302982184
P2_t1_neg_m100,neg,-100,3,-9.466666666666667,0.032145502536643514,2.763333333333333,0.14189197769195186
P2_t1_neg_m090,neg,-90,3,-9.426666666666668,0.0750555349946518,2.48,0.029999999999999805
P2_t1_neg_m080,neg,-80,3,-9.35,0.017320508075688405,2.23,0.07810249675906641
P2_t1_neg_m040,neg,-40,3,-9.303333333333333,0.1026320287889382,1.9866666666666666,0.020816659994661223
P2_t1_neg_m020,neg,-20,3,-9.306666666666667,0.08736894948054091,1.8633333333333335,0.011547005383792525
P2_t1_neg_m010,neg,-10,3,-9.316666666666666,0.06506407098647751,1.8166666666666667,0.011547005383792525
P2_t1_neg_p000,neg,0,3,-9.413333333333334,0.025166114784235295,1.4133333333333333,0.05686240703077319
P2_t1_neg_p010,neg,10,3,-9.416666666666666,0.01527525231651914,0.9366666666666666,0.21455380055672132
P2_t1_neg_p020,neg,20,3,-9.403333333333334,0.01154700538379227,-4.3966666666666665,0.055075705472860864
P2_t1_neg_p040,neg,40,3,-9.33,0.019999999999999574,-9.236666666666666,0.030550504633038284
P2_t1_neg_p080,neg,80,3,-9.41,0.009999999999999787,-9.556666666666667,0.0288675134594817
P2_t1_neg_p090,neg,90,3,-9.436666666666667,0.04163331998932248,-11.906666666666666,0.5657148869645678
P2_t1_neg_p100,neg,100,3,-9.416666666666668,0.10115993936995668,-33.983333333333334,1.1568203548232254
