run_id,repeat,direction,position_mm,entry_t1_deg,final_t1_deg,source_resolution_deg
P2_t1_pos_m100,r01,pos,-100,9.33,30.28,0.01
P2_t1_pos_m100,r02,pos,-100,9.37,32.17,0.01
P2_t1_pos_m100,r03,pos,-100,9.36,32.85,0.01
P2_t1_pos_m090,r01,pos,-90,9.35,10.92,0.01
P2_t1_pos_m090,r02,pos,-90,9.31,10.5,0.01
P2_t1_pos_m090,r03,pos,-90,9.28,10.15,0.01
P2_t1_pos_m080,r01,pos,-80,9.28,9.36,0.01
P2_t1_pos_m080,r02,pos,-80,9.3,9.35,0.01
P2_t1_pos_m080,r03,pos,-80,9.3,9.33,0.01
P2_t1_pos_m040,r01,pos,-40,9.27,9.12,0.01
P2_t1_pos_m040,r02,pos,-40,9.32,9.06,0.01
P2_t1_pos_m040,r03,pos,-40,9.33,9.2,0.01
P2_t1_pos_m020,r01,pos,-20,9.3,8.81,0.01
P2_t1_pos_m020,r02,pos,-20,9.34,8.15,0.01
P2_t1_pos_m020,r03,pos,-20,9.34,8.02,0.01
P2_t1_pos_m010,r01,pos,-10,9.32,1.9,0.01
P2_t1_pos_m010,r02,pos,-10,9.35,1.88,0.01
P2_t1_pos_m010,r03,pos,-10,9.34,1.89,0.01
P2_t1_pos_p000,r01,pos,0,9.3,1.75,0.01
P2_t1_pos_p000,r02,pos,0,9.31,1.75,0.01
P2_t1_pos_p000,r03,pos,0,9.31,1.75,0.01
P2_t1_pos_p010,r01,pos,10,9.33,1.69,0.01
P2_t1_pos_p010,r02,pos,10,9.35,1.68,0.01
P2_t1_pos_p010,r03,pos,10,9.33,1.67,0.01
P2_t1_pos_p020,r01,pos,20,9.32,1.6,0.01
P2_t1_pos_p020,r02,pos,20,9.32,1.6,0.01
P2_t1_pos_p020,r03,pos,20,9.31,1.61,0.01
P2_t1_pos_p040,r01,pos,40,9.34,1.49,0.01
P2_t1_pos_p040,r02,pos,40,9.33,1.48,0.01
P2_t1_pos_p040,r03,pos,40,9.32,1.47,0.01
P2_t1_pos_p080,r01,pos,80,9.3,1.2,0.01
P2_t1_pos_p080,r02,pos,80,9.31,1.16,0.01
P2_t1_pos_p080,r03,pos,80,9.31,1.14,0.01
P2_t1_pos_p090,r01,pos,90,9.34,1.04,0.01
P2_t1_pos_p090,r02,pos,90,9.37,1.16,0.01
P2_t1_pos_p090,r03,pos,90,9.38,1.14,0.01
P2_t1_pos_p100,r01,pos,100,9.33,0.76,0.01
P2_t1_pos_p100,r02,pos,100,9.35,0.87,0.01
P2_t1_pos_p100,r03,pos,100,9.33,0.86,0.01
P2_t1_neg_m100,r01,neg,-100,-9.43,2.89,0.01
P2_t1_neg_m100,r02,neg,-100,-9.49,2.79,0.01
P2_t1_neg_m100,r03,neg,-100,-9.48,2.61,0.01
P2_t1_neg_m090,r01,neg,-90,-9.34,2.48,0.01
P2_t1_neg_m090,r02,neg,-90,-9.47,2.45,0.01
P2_t1_neg_m090,r03,neg,-90,-9.47,2.51,0.01
P2_t1_neg_m080,r01,neg,-80,-9.34,2.18,0.01
P2_t1_neg_m080,r02,neg,-80,-9.34,2.19,0.01
P2_t1_neg_m080,r03,neg,-80,-9.37,2.32,0.01
P2_t1_neg_m040,r01,neg,-40,-9.19,1.97,0.01
P2_t1_neg_m040,r02,neg,-40,-9.33,2.01,0.01
P2_t1_neg_m040,r03,neg,-40,-9.39,1.98,0.01
P2_t1_neg_m020,r01,neg,-20,-9.21,1.85,0.01
P2_t1_neg_m020,r02,neg,-20,-9.33,1.87,0.01
P2_t1_neg_m020,r03,neg,-20,-9.38,1.87,0.01
P2_t1_neg_m010,r01,neg,-10,-9.25,1.81,0.01
P2_t1_neg_m010,r02,neg,-10,-9.32,1.81,0.01
P2_t1_neg_m010,r03,neg,-10,-9.38,1.83,0.01
P2_t1_neg_p000,r01,neg,0,-9.41,1.35,0.01
P2_t1_neg_p000,r02,neg,0,-9.44,1.43,0.01
P2_t1_neg_p000,r03,neg,0,-9.39,1.46,0.01
P2_t1_neg_p010,r01,neg,10,-9.42,0.69,0.01
P2_t1_neg_p010,r02,neg,10,-9.4,1.04,0.01
P2_t1_neg_p010,r03,neg,10,-9.43,1.08,0.01
P2_t1_neg_p020,r01,neg,20,-9.39,-4.46,0.01
P2_t1_neg_p020,r02,neg,20,-9.41,-4.37,0.01
P2_t1_neg_p020,r03,neg,20,-9.41,-4.36,0.01
P2_t1_neg_p040,r01,neg,40,-9.35,-9.27,0.01
P2_t1_neg_p040,r02,neg,40,-9.33,-9.23,0.01
P2_t1_neg_p040,r03,neg,40,-9.31,-9.21,0.01
P2_t1_neg_p080,r01,neg,80,-9.4,-9.54,0.01
P2_t1_neg_p080,r02,neg,80,-9.41,-9.54,0.01
P2_t1_neg_p080,r03,neg,80,-9.42,-9.59,0.01
P2_t1_neg_p090,r01,neg,90,-9.39,-11.26,0.01
P2_t1_neg_p090,r02,neg,90,-9.47,-12.31,0.01
P2_t1_neg_p090,r03,neg,90,-9.45,-12.15,0.01
P2_t1_neg_p100,r01,neg,100,-9.3,-32.65,0.01
P2_t1_neg_p100,r02,neg,100,-9.47,-34.72,0.01
P2_t1_neg_p100,r03,neg,100,-9.48,-34.58,0.01
