direction,position_mm,r01_deg,r02_deg,r03_deg,mean_deg,sample_sd_deg
pos,-80,9.36,9.35,9.33,9.346666666666666,0.01527525231651914
pos,-40,9.12,9.06,9.2,9.126666666666667,0.07023769168568436
pos,-20,8.81,8.15,8.02,8.326666666666666,0.42359571921034994
pos,-10,1.9,1.88,1.89,1.89,0.010000000000000009
pos,0,1.75,1.75,1.75,1.75,0.0
pos,10,1.69,1.68,1.67,1.68,0.010000000000000009
pos,20,1.6,1.6,1.61,1.6033333333333335,0.005773502691896263
pos,40,1.49,1.48,1.47,1.48,0.010000000000000009
pos,80,1.2,1.16,1.14,1.1666666666666665,0.03055050463303896
neg,-80,2.18,2.19,2.32,2.23,0.07810249675906641
neg,-40,1.97,2.01,1.98,1.9866666666666666,0.020816659994661223
neg,-20,1.85,1.87,1.87,1.8633333333333335,0.011547005383792525
neg,-10,1.81,1.81,1.83,1.8166666666666667,0.011547005383792525
neg,0,1.35,1.43,1.46,1.4133333333333333,0.05686240703077319
neg,10,0.69,1.04,1.08,0.9366666666666666,0.21455380055672132
neg,20,-4.46,-4.37,-4.36,-4.3966666666666665,0.055075705472860864
neg,40,-9.27,-9.23,-9.21,-9.236666666666666,0.030550504633038284
neg,80,-9.54,-9.54,-9.59,-9.556666666666667,0.0288675134594817
